"mouse";"Set ID";"FITC Rank";"Lgth Rank";"Rel len";"Total Len";"Len";"No_foci";"F1";"F2";"round F1";"round F2"
2;"m2-2 s44 top";3;7;0.0574892900;198.64;11.42;2;0.27;0.97;0.27;0.97
2;"m2-2 s44 top";4;4;0.0631086826;198.64;12.54;2;0.07;0.89;0.07;0.89
2;"m2-2 s44 top";5;3;0.0639174260;198.64;12.70;2;0.31;0.99;0.31;0.99
2;"m2-2 s44 top";6;8;0.0557274926;198.64;11.07;1;0.93;;0.93;
2;"m2-2 s44 top";7;5;0.0592397164;198.64;11.77;1;0.75;;0.75;
2;"m2-2 s44 top";8;9;0.0544505474;198.64;10.82;1;0.98;;0.98;
2;"m2-2 s44 top";9;10;0.0532192950;198.64;10.57;1;0.80;;0.8;
2;"m2-2 s44 top";10;12;0.0523897223;198.64;10.41;2;0.36;0.82;0.36;0.82
2;"m2-2 s44 top";11;6;0.0588430753;198.64;11.69;2;0.12;0.98;0.12;0.98
2;"m2-2 s44 top";12;14;0.0443422833;198.64;8.81;1;0.76;;0.76;
2;"m2-2 s44 top";13;11;0.0526546854;198.64;10.46;1;0.82;;0.82;
2;"m2-2 s44 top";14;16;0.0429887791;198.64;8.54;1;0.63;;0.63;
2;"m2-2 s44 top";15;13;0.0453469364;198.64;9.01;1;0.98;;0.98;
2;"m2-2 s44 top";16;18;0.0352323479;198.64;7.00;1;0.33;;0.33;
2;"m2-2 s44 top";17;15;0.0432892775;198.64;8.60;1;0.19;;0.19;
2;"m2-2 s44 top";18;17;0.0386726736;198.64;7.68;1;0.51;;0.51;
2;"m2-2 s44 top";19;19;0.0274739238;198.64;5.46;1;0.77;;0.77;
2;"m2-2 s46";1;3;0.0814884486;154.85;12.62;1;0.64;;0.64;
2;"m2-2 s46";2;1;0.1006687645;154.85;15.59;1;0.70;;0.7;
2;"m2-2 s46";3;11;0.0480331536;154.85;7.44;1;0.74;;0.74;
2;"m2-2 s46";4;5;0.0623674097;154.85;9.66;2;0.04;0.99;0.04;0.99
2;"m2-2 s46";5;6;0.0588009793;154.85;9.11;2;0.12;0.95;0.12;0.95
2;"m2-2 s46";6;9;0.0553447524;154.85;8.57;2;0.18;0.99;0.18;0.99
2;"m2-2 s46";7;2;0.0909886242;154.85;14.09;2;0.28;0.31;0.28;0.31
2;"m2-2 s46";8;7;0.0580940168;154.85;9.00;1;0.55;;0.55;
2;"m2-2 s46";9;4;0.0803861347;154.85;12.45;1;0.84;;0.84;
2;"m2-2 s46";10;10;0.0515519460;154.85;7.98;1;0.96;;0.96;
2;"m2-2 s46";11;8;0.0571897497;154.85;8.86;1;0.74;;0.74;
